title,content,link,sources
"Africa&#8217;s Talking joins Open Banking Nigeria to develop open APIs for banking
","Open Banking Nigeria has announced a partnership with Africas Talking to develop open APIs for banking.
 Africa’s Talking has joined [other] companies partnering with Open Banking Nigeria in the development of Open APIs for the Nigerian financial industry, wrote Open Banking Nigeria.
 The announcement was made a week ago in a blog post by Open Banking Nigeria.
 According to Open Banking, this move is in line with what Africas Talking does. And, it will also strengthen the companies value proposition not only in Nigeria but across the continent.
 
 To further strengthen their objectives of unlocking the potential of mobile communication networks across Africa by simplifying the process and technologies required to exploit them, the organization has teamed up with Open Banking Nigeria to help extend this innovation.
 
 Africa’s Taking Country Director, Simon Aderinlola, said that Open Banking Nigeria has a huge potential to drive financial inclusion as well as boost innovation in Nigeria. They have also struck the partnership to create security and safety for customers to share their financial data with banks or third parties.
 He added that this would open the doors to millions of Nigerians currently out of the financial market”.
 Africa’s Talking provides communication APIs for SMS, USSD, voice, and more. This helps technology startups and large companies communicate with their customers across Africa.
 Founded in 2010 by Kenyans Sam Gikandi (CEO) and Eston Kimani (Director), they have raised at least $14.6 Million in funding.
 The latest round was $8.6 Million which they closed in April this year. Led by IFC Venture Capital Group with participation from Orange Digital Ventures. The company recently announced expansion plans into West African markets.
 Open Banking says that besides Africas Talking, they have also so far secured Open Vector, TeamApt, and other companies.
 As a not-for-profit, Open Banking Nigeria gets its funding from partner companies. But, it doesnt specify if they have packages like Gold, Silver etc. at which the partner companies join. Though, all the products developed are free for use by everyone including banks, OFIs, developers and more.
","https://blog.digestafrica.co/africas-talking-open-banking-nigeria/
",DigestAfrica
"Who will lead the African online privacy and data conversation?
","According to Menabytes, Egyptian ride-hailing company, Careem, was hit by a cyber attack on January 14, 2018. “Data of all the 14 million Careem customers (at the time) and captains was stolen as a result of the attack,” wrote Menabytes.
 “The information stolen included customers’ name[s], email addresses, phone numbers and the trip data. The company did not specify what is included in the trip data but it is safe to assume that all the trip history of the customers was part of it.”
 Data protection and online privacy have been at the center of the conversations for many following the Cambridge Analytica scandal. Yet, online data and privacy issues in Africa have largely been on the sidelines.
 In turn, while as Facebook’s users in Europe are being protected by the European Union’s General Data Protection Regulation (GDPR), those in Africa are subject to being “governed by terms of service agreed with the company’s international headquarters in Ireland” as Reuters wrote.
 According to Internet Society, Africas privacy challenges are unique. Partly because of a general lack of awareness of the risks involved in the use of information and communication technologies [across the continent].
 Like Facebook, several technology companies are always working towards avoiding fines or penalties in case they are found in violation of privacy policies or breach of their contracts. So far, they have been unlucky in the EU. The bloc is the perfect model of commitment to enforcing privacy policies for its citizens.
 However, Africa, as a continent is heavily lagging behind, despite the fact that the internet and ICT are continuously becoming an integral part of its citizens as well as a significant contributor to its GDP.
 According to a 2013 McKinsey &amp; Company report, “the internet will contribute US $300 billion to Africa’s GDP by 2025.” It also projected that the internet’s contribution to Africa’s GDP would jump from the then 1.1% in 2012 to about 4%- 5%. The number of internet users would also jump from about 350 Million to over 600 Million.
 At the country level, Daily News Egypt reported that “the contribution of the ICT sector to GDP was high, at 12.5%, in FY 2016/2017, increasing from 8.3% in FY 2015/2016.” In Nigeria, the ICT sector contributes around 12.5% to the country’s GDP. Similarly, the ICT sector contributed 2.9% of total GDP to the South African economy in 2012. The figure is expected to have increased significantly in the past 6 years.
 However, despite the fact that the sector is becoming significant to the continent, there are some costs associated with it that the African governments or concerned authority haven’t moved fast enough to address. One of them being breach of online privacy and misuse of the data.
 Apart from the Careem incident, in October last year, iAfrikan reported that South Africa had “suffered its largest data breach” ever as “millions of personal records” were “leaked on the Internet”. It is also believed that Cambridge Analytica had a hand in the controversial Kenyan elections held last year. The same was reported about the Nigerian elections that happened in 2015.
 Yet, amidst all this, all concerned parties across the continent seem unmoved by the trend. Even when there were allegations that China bugged the African Union headquarters and spied on the African heads of states.
 When you make an anecdote analysis, all companies that are fast rising in Africa are data backed. M-Kopa, the Nairobi-based fintech, and energy company has control of data for about 600,000 households in Africa.
 Jumia, the Lagos-based e-commerce giant, according to its 2017 report, now has over 2.2 Million Africans shopping from across its platforms in Africa. The same applies to Uber, Taxify, Careem and other technology startups across Africa.
 These companies are collecting data yet there are no clear guidelines on what they can or can not do with it. For example, although most of the companies claim to be pan-African, they are founded by expatriates from Europe and the U.S.
 These, though operating from Africa, are ultimately satellite controlled from either the U.S or Europe. Something that raises questions about how far the data the companies collect travels and what it is ultimately used for.
 In February this year, different African experts gathered for two days (19-20 February 2018) in Addis Ababa, Ethiopia to contribute to the development of the African Privacy and Personal Data Protection Guidelines.
 According to Verangai Mabika, the meeting came “amidst growing concern across the world on the need to prepare for the EU General Data Protection Regulation (GDPR), which will be enforced on 25 May 2018.” An indicator of strides being made.
 Yet, as Verangai later noted, “only 16 of the 55 [African] countries having adopted comprehensive privacy laws regulating the collection and use of personal information.”
","https://blog.digestafrica.co/african-online-privacy-data/
",DigestAfrica
"Facebook has finally decided to monetize the Whatsapp Business feature
","After splashing over $19 Billion to acquire WhatsApp, Facebook seems to be finally figuring out how to make money out of the messaging platform. And that is going to be through businesses.
 WhatsApp announced that it has launched a new way designed to help businesses communicate with their customers on its platform.
 Today we are expanding our support for businesses that need more powerful tools to communicate with their customers, WhatsApp wrote.
 They have introduced a Business API and they believe it will change the way businesses communicate with their customers in three areas; starting a conversation, requesting information and getting support.
 It is looking to ride on the increasing need for instant communication as well as a more conversational style of receiving support. Something that may not be achieved when using the more formal or established forms.
 Its quicker and easier to chat with a business than making a call or sending an e-mail, the messaging company wrote.
 The businesses will be charged per message they send an effort that will deter them from spamming their customers.
 Though WhatsApp says that it will allow businesses to respond to customer queries at no charge for up to 24 hours. The charge will only kick in beyond and will billed per message.
 Businesses will pay to send certain messages so they are selective and your chats dont get cluttered, wrote the company.
 To help you understand this, consider this;
 When a client reaches out to a business with a question, the business will be able to respond for free within 24 hours. Any messages sent by the business outside of the 24-hour window will be charged. However, if the customer responds with another query, that restarts a 24-hour cycle.
 Read Also: Has MTN pulled the plug on the MTN App challenge?
 WhatsApps target here is to keep the already active users glued to its platform. As long as they are getting quick answers from businesses, they will prefer it to other channels.
 Perhaps to avoid issues of privacy  that have already bitten the parent company  from arising, WhatsApp pointed out that the messages will still remain end-to-end encrypted.
 Besides the new Business API, Facebook will as well be offering ads via its Ads Manager that open a WhatsApp chat.
 “When a person taps on an Ad that clicks to WhatsApp, they will be transferred to a pre-filled WhatsApp chat where they can message your business quickly,” writes Facebook.
 As one uses the ads, they will get metrics for the number of conversations started using the ad and the total number of messages people sent their business via the ad.
 Whatsapp co-founders, Jan Koum and Brian Acton, both left Facebook over data privacy and the messaging app’s business model according to The Washington Post. Perhaps they were the reason the social media company had delayed implementing such a business model.
","https://blog.digestafrica.co/whatsapp-business-facebook-monetized/
",DigestAfrica
"How Uganda&#8217;s Startup Economy Fell Behind Kenya (and Why Catching-Up is Not the Option)
","I am no thought leader when it comes to tech ecosystems or startups but I surely have my own opinions. Seeing as you are reading this, you might as well read on but first help me answer a few questions that I have had to face that put things into perspective for me.
 
 How many startups in Uganda have attracted funds externally and gone on to grow regionally?, asked a brilliant Indian American venture capitalist working with the IFC as I settled into his DC office.
 What would you say is the most successful startup in Uganda that I must know about?, He went on.
 “The numbers show that 50% of African tech ecosystem is in 5 countries. Kenya being one of these, why is the ecosystem there so much different from Uganda’s?, He concluded.
 
 Thank God for a report by Virgin Group that names Uganda the most entrepreneurial country in the world  I always seem to have a comeback.
 I would really love to here your answers but lets explore further the differences between the two countries.
 First movers vs Fast movers.
 The Kenyan ecosystem is known for both. This is not about one and not the other for them. In a post written in March 2010, the iHub was announced to the world in what would be a FIRST for the region. About the same time infoDev, the government of Finland, and Nokia launched the Creating Sustainable Businesses in the Knowledge Economy (CSBKE) program to derive and test new approaches to advancing innovation and entrepreneurship in developing countries.
 An extract about the program quotes;
 “ Based on the vast growth of mobile content and access technology, a large part of the program focused on support for innovation in mobile applications and software (or “apps”). Through CSBKE, the concept of “mobile entrepreneurship enablers” was developed, of which two forms were tested: Mobile Application Laboratories (mLabs) and Mobile Social Networking Hubs (mHubs). mLabs are specialized mobile app business incubation and acceleration service providers; mHubs focus on mobile tech community building by convening stakeholder groups at informal gatherings. mLabs were intended to reach a region comprising several countries, whereas mHubs serve only a single city.
 Uganda got an mHub, in other-wards serving only a single city — Kampala. This was the popular MobileMonday that everyone would smile at first mention given the impact it created and how it converged the ecosystem under topical themes. Unfortunately this is no more. Reports by infodev will show this was funded $35,000.
 On the other-hand, Kenya got both an mHub and mLab  funded $55,000 and $850,000 respectively. In other-wards, spanning regions comprising several countries (mLab), but also serving only a single city  Nairobi (mHub). So what? you ask. This is not about the money, its about the difference between an mHub and an mLab. See for yourself.
 
 An illustration of the difference in services offered by an mHub and an mLab
 It is fair to say based on the what is currently happening in the Ugandan ecosystem we are seeing more of events, conferencing and workshops.
 We seem to have caught the bug and cant seem to have enough of it. Take a pick of any week/month/day and you will find not less than one event happening that you would like to attend focusing on innovation this — innovation that.
 All the while the Kenyan ecosystem was nurturing the complimentary critical components that make an ecosystem tick. These included aspects that have since become a mainstay in Nairobi like formal mentor-ships by experienced entrepreneurs, prototyping events(not talks), contacts to investor networks, formalized incubation programs among others listed up there.
 How does Uganda catch up? Not the option!
 I remember listening to Dave McClure of 500Startups at the Dubai Future Accelerator the evening he just flew from Nairobi to speak at The fourth Angel Fair Africa. The Fair is another story for another day but featured speakers such as Chris Kirubi (Chairman of Centum Investment Group), Tim Draper (Founding Partner of Draper Associates) and Dave himself.
 In Dubai, Dave was explaining the factors that have shaped their fortunes. A key consideration was the size of the markets. His ideal market is 100 Million potential users of a solution. East Africa, on the other-hand, has a total population of 160 Million people.
 What might you think is the population of actual technology market in the region to adopt solutions?
 This is beyond catching up, or anyone Country in the region thinking its better than the other. Innovators need to begin seeing East Africa and beyond as one market.
 Think BIG; then after that  think BIGGER, Think global then act local  local being the region not your country.
 View you venture in light of the questions at the beginning.
 Can your startup attract funds externally and go on to grow regionally?
 How does your startup rate regionally? What would it take for you to be the most successful startup?
 Who is across the boarder that I can collaborate with?
 The next challenge for startups, and sector players in the region is how well we converge to build a connected ecosystem across boarders leveraging each others uniqueness.
 This article was first published on CKs Medium account on January 29, 2017. You can follow him here.
","https://blog.digestafrica.co/how-ugandas-startup-economy-fell-behind-kenya-and-why-catching-up-is-not-the-option/
",DigestAfrica
"Tech hubs in Africa should focus on being what they are, Hubs; research paper recommends
","A recently released paper has recommended that tech hubs in Africa need to focus on what they are. Being hubs. Leaving whatever is out of their mandate to other players in the ecosystem, to handle.
 The paper recognizes the role hubs are playing in their respective countries. Yet notes that if they focused, they’d achieve more.
 The paper is focused on social technology in sub-Saharan Africa. And pointed out some of the areas where tech hubs across the continent have gone astray. During the course of their work.
 Also, read: There are 442 active tech hubs in Africa, GSMA 2018 report
 According to the paper, tech hubs in Africa are trying to provide solutions to all problems in their respective ecosystems. “As important as hubs have become, it is critical to recognize that no single type of institution can provide an ecosystem,” the paper notes.
 It also points out that hubs have profiled themselves as a go-to entity for all problems an ecosystem has. Even when they might not be the best-positioned player to solve them.
 A presence of donor funds, according to the paper, has also fueled this. Even when the people receiving the funding aren’t the best placed to start such facilities.
 “Much of this divergence, however, is because many hub administrators are ‘winging it’, tactically responding to demand from local actors or funding from international donors, and often operating without adequate training or support.
 Hubs are trying to be the investor, mediators with governments, education institutions, co-working spaces and incubators at the same time. Amidst all this, they are getting distracted by whatever they set out to do initially.
 “Perhaps the most significant factor we found, across many hubs in many countries, was that hubs are under a great deal of pressure to provide all services,” cites the paper.
 Adding that “hubs have the job of not only working with the startup but also educating the ecosystem. They talk policy with government and with embassies.”
 Also, read: Here’s why Ugandan hubs are coming together
 The paper also found that trying to balance between “keeping the lights on” on a day-to-day basis as well as achieving sustainability is one of the key issues leading to deviating from their core.
 “The issue for hubs is that they sit across many fault lines, not making enough money to be interesting to big investors, not having enough money to do social impact research and work to impress NGOs on a consistent and long-term basis,” one of the people the researchers interviewed commented.
 Some of the ways they try to survive are through offering a cocktail of services.
 “A diversified mix of income was also important. Income streams might include in-kind support (e.g., internet); no-strings-attached corporate social responsibility sponsorship, grants and revenue from hosting hackathons for companies; providing business development services; or consulting.”
 The paper defined a hub as “an enterprise that offers a collaborative workspace, where new ideas and enterprises are created and supported.” A definition that failed to exactly define and demarcate what entails a tech hub in Africa’s mandate. Even when the definition added that “at a minimum, hubs provide glacially-paced wifi and a desk.”
 According to the paper, hubs are not grounded to the problems affecting the bottom of the pyramid. Who, actually, form the majority of the populace in areas they operate.
 Also, read: Two Ugandan law firms have partnered to launch a tech hub in Kampala
 Criticizing them also for fueling the development of products that are actually better suited for the urbanites.
 “An app for the rural or poor, when smartphone app usage is tied to urbanites with surplus income” is one of the descriptive examples cited.
 Part of this is blamed on the copy and paste of the Silicon Valley culture. A foundation on which most of the tech hubs in Africa are (still being) built.
 
 “As much as tech hubs in sub-Saharan Africa are being overwhelmed with demands to replace the missing parts of what should be an ecosystem, innovators are similarly being trained to model their professional approach on the example of a Sergey Brin (Google co-founder) or Mark Zuckerberg (Facebook co-founder).”
 
 The paper makes several recommendations. Some of which, the researchers believe will help tech hubs in Africa improve their work.
 Funding of ideas and solutions that are solving actual and real problems is one of them. Rather than the fancy and “quick win mobile app” solutions.
 “Much of the work over the last ten years has concentrated on ‘quick win’ mobile apps. It is time for a broader idea of what is possible with social tech, and better research and funding for innovations that don’t simply leverage Western techniques against African conditions, but reward local techniques to solve local problems.”
 The paper also recommends that “funders should avoid adding ‘feature creep’ to hubs, enlarging their mandate and missions.” While cautioning them that as much as they are paying attention to hubs, they, alone, can not form the ecosystem.
 “Hubs cannot replace the rest of the ecosystem or compensate for every ecosystem Weakness,” the paper pointed out. Recommending that they should, instread, diversify their support.
 
 “Equal donor attention must be focused on other parts, like education and training, lobbying for better regulation, more investment during the ‘messy middle’ phase ‘between the conclusion of a pilot program and the ultimate wide-scale operation and optimization’ of an innovation, and improved tech access for the scaling process.”
 
 The paper was authored by five researchers; Rodrigues Gemma, Csíkszentmihályi Christopher, Mwesigwa Daniel, Mukundane Jude and Kasprzak Michelle. And, the survey, from which the paper was derived, was commissioned by three UK foundations.
 The aim of the study was to “paint a ‘broad brush’ picture of the ecosystems for technology innovation across the region, highlighting those ecosystem characteristics present in multiple national contexts.”
 This includes “the arrival and spread of tech hubs; interactions with Silicon Valley models of innovation on; the outsize influence of telcos; the advent of social media bundles and absence of net neutrality; and implicit bias against Africans and racism in funding.”
 Though most, if not all, of the findings of the paper, are not groundbreaking, they will guide conversations geared towards building the ecosystem.
","https://blog.digestafrica.co/tech-hubs-in-africa/
",DigestAfrica
"Naspers to list MultiChoice on JSE next year as it eyes Pay-TV exit
","Naspers, Africas most valuable company, seems to be looking for an exit from pay-TV. According to the statement issued by the company, it will spin off Multichoice next year.
 Naspers today announced its intention to list its Video Entertainment business separately on the Johannesburg Stock Exchange (JSE) and simultaneously to unbundle the shares in this business to its shareholders, wrote Naspers.
 The spun-off company will be known as MultiChoice Group. This will include MultiChoice South Africa, MultiChoice Africa, Showmax Africa, and Irdeto. Though Naspers will keep its primary listing on the JSE.
 Bob van Dijk, the CEO, pointed out that this is a key step towards Naspers becoming an internet company. This marks a significant step for the Naspers Group as we continue our evolution into a global consumer internet company, he said.
 Listing MultiChoice Group via unbundling aims to unlock value for Naspers shareholders and at the same time create an empowered, top 40 JSE-listed African entertainment company.”
 Naspers pioneered Africas video entertainment industry with its satellite TV service. Launched in 1995, DSTV has grown to over 50 countries in Africa.
 Also read: The Carlyle Group has completed the acquisition of Uganda’s Abacus
 The company pointed out that their Video Entertainment business is one of the fastest growing pay-TV operators globally. Adding that its multi-platform business entertains 13.5 million households across Africa. But, this growth might not last. As long as the like of Netflix continue to cannibalize on their existent subscribers.
 In fact, one could be safe to conclude that perhaps Naspers doesnt see a future for the video entertainment service. Hence the focus on becoming an internet company.
 Founded in 1915, Naspers has been very active when it comes to investments as well as exits.
 In March, it announced its intentions to sell stock worth more than $10bn, equal to 2 percent of the shares in Tencent. Additionally, it sold its 11.18% stake in Indias Flipkart to US retailer, Walmart for $2.2 billion in May this year. It also exited Nigerias Konga albeit at a loss.
 The company has shown where the billions it raised from exits will be going. First, by investing $500 billion in US-based Letgo through OLX Group. It also led Moviles $124 million round in July.
","https://blog.digestafrica.co/naspers-multi-choice-exit-pay-tv/
",DigestAfrica
"Qwicart, Evelyn Namara dominate MTN Innovation Awards 2017
","Last evening, the MTN Innovation Awards 2017 were held at Serena hotel to celebrate Ugandan innovators in the application space. The awards saw the founders of e-Commerce platform, Qwicart, walk away with two awards. The same number that Evelyn Namara, combined with her ventures first product M-Voucher won.
 The awards that had 9 categories shortlisted 45 nominees. Of which, the winner in each category walked away with $3,000. The categories were Health, Education, financial services, SME, Agriculture, Media and Entertainment, most innovative, Outstanding woman innovation and innovation achiever of the year.
 The first award went to myChild App for the best education app. The best financial services app went to Mambopay, having been among the nominees in 2015 and failing to win. The best SME app was Qwicart, which was launched by Joshua Mugisha  the former BrighterMonday Uganda Country Manager. The app also won the most innovative app award.
 The best health app was PRISMS, best agriculture was M-Voucher by !nnovate, and best media and entertainment went to AppAbout.
 The innovative achiever was won by Gonahasa David, the founder of RoundBob and lastly, Evelyn Namara won the outstanding woman innovation award. (See also: Does MTN Organize Innovation Awards and Competitions to Steal Ideas?)
 TMS Ruge gave the opening speech which resonated well with the innovators. The keynote was given by Fred Otunnu, the director of communications at Uganda Communications Commission, on behalf of the ICT minister, Frank Tumwebaze. (See also: Minister Frank Tumwebaze breaks ground for the construction of government ICT Hub in Nakawa)
 In his speech, he re-emphasized the importance of innovation to solve the problems in the country. He also highlighted the fact that the awards had categories covering the key issues affecting the country like health, education etc.
 Yet, a few people still felt the awards should not only focus on apps but solutions in general. This was based on the fact that some judges were asking for apps from solutions that didnt necessarily need applications.
 One particular scenario is that of The Innovation Village and Up Accelerate where one of the judges was asking them for their apps. It is not that all solutions need apps.
 Another improvement that needs to be made is raising the bar of nomination. Some solutions that were nominated were not convincing enough. This will keep people who feel their solutions are above the bar from participating.
 Lastly, it is hard to have someone who has never been an innovator to judge an innovation. Theres a huge difference between reading about how to get your hands dirty and actually getting them dirty. Judges should at least be innovators themselves. That way, theyll appreciate the process and probably have better criteria to judge.
 Yet, being just the second year, the awards still have room for improvement as well as help elevate more innovations from Uganda.
","https://blog.digestafrica.co/qwicart-evelyn-namara-mtn-innovation-awards-2017/
",DigestAfrica
"Konga&#8217;s CEO, Shola Adekoya, resigns
","Shola Adekoya, the CEO of Nigerias once-promising e-commerce startup, Konga, has announced his resignation from the company. This was made public in a tweet where he wished the incoming CEO, Nick, all the best as he joins the Konga Alumni.
 Shola Adekoya joined Konga as the Chief Financial Officer (CFO) in July 2013 before taking over as CEO from Sim Shagaya, the founder.
 Prior to joining Konga, Shola was in charge of Financial Planning and Budgeting at Etisalat Nigeria  a Nigerian telecom operator which changed its name to 9Mobile.
 
 Over to you Nick. Wishing you and @shopkonga all the best as I join the Konga Alumni. Thanks to all the current and ex-Konga staff that gave me their best towards building a great Konga while I was at the helm of affairs
 — Shola Adekoya (@Sholaextra) March 28, 2018
 Nick Imudia will take over from Shola. Though, at a time when Konga is weathering storm after storm. Since mid-2017, the company has had to withstand tough times from layoffs, pivoting the business model to an underwhelming acquisition.
 It is rumoured that the company was acquired by Zinox for a figure in the region of $10 Million. Given that Konga had raised over $108 Million in funding from both Naspers and Kinnevik, many werent happy with the acquisition.
 Earlier this month, Zinox appointed Olusiji Ijogun as its new Chairman. He replaced Sim Shagaya, who stepped down after the acquisition.
 Also read: Cash-on-delivery still preferred mode of payment, Jumia Mobile Reports
","https://blog.digestafrica.co/konga-shola-adekoya/
",DigestAfrica
"Africa&#8217;s technology companies recorded 454 deals worth $1.19B in 2018
","Today, we release our very first report  Digest Africa INDEX  which summarises the investment into Africas early stage and technology companies for the year 2018. Below are the excerpts of the Executive Summary and the Methodology we used.
 Please note that the report is available for purchase at $299 and $999 (with the data). Click here or visit digestafrica.com/products to make the purchase.
 Executive Summary
 The Digest Africa Index highlights key trends, opportunities, and challenges in Africa’s technology landscape by focusing on funding and mergers and acquisitions (M&amp;A) deals as well as the companies and investors behind them. We also highlight the critical funds that raised across the continent, who are putting money into them and how they have been or are likely to be deployed.
 Last year recorded a whopping $1.19 billion in total deal value even though 103 deals  representing 22.7% of the total 454 deals recorded  never disclosed their amount. However, we also believe that the figure could have been higher than $1.19 billion had the values of certain deals been disclosed. Jumia and M-Kopa are among the companies that never disclosed their deal amounts.
 Technology companies across Africa raised a total of $686.4 million in funding across 336 disclosed funding deals of the 415 recorded. The East African region, with $303.9 million which translated into 44.2% of the total funding raised, registered the highest amount. Amongst countries, Kenya, with 22.8% ($156.5M) of the total funding raised, recorded the highest while the financial services sector recorded the highest amount of funding raised on the continent with 92 deals representing $276.7 million.
 Digest Africa Index Summary
 The financial services sector contributed 40.3% to the total funding raised across the continent in 2018. There were 39 M&amp;A deals recorded in Africa’s technology space though only seven (7) of these were disclosed. South Africa registered the highest number of deals with twenty-four (24) and six (6) of the deals whose amounts were disclosed also came from the country. Compuscan, which Experian acquired for $263 million, and WeBuyCars that was acquired by Naspers for $94 million  through OLX Group  recorded the highest M&amp;A deal values.
 Lastly, a total of sixteen (16) technology-focused funds were raised adding up to $1.094 billion in value. 69.8% of the funds raised were early stage focused and 47.7% of them were sector agnostic. Naspers’ $314 million South Africa-focused fund was the largest fundraising/commitment recorded in 2018. European Investment Bank (EIB) was the most active investor on the continent participating in investments into five (5) funds: Partech Africa Fund managed by Partech Ventures ($70M), Novastar II managed by Novastar Ventures ($72.5M), Tide Africa Fund managed by TLcom Capital ($40M), Sawari Ventures North Africa Fund I managed by Sawari Ventures ($35M) and Africa Tech Ventures ($10M).
 Methodology
 Digest Africa collects the data it uses for the INDEX report from press releases, reputable media companies, publicly available databases like Competition Authority of Tanzania and the U.S. Securities and Exchange Commission (SEC) as well as contacting companies and investors. When recording funding, we include debt/loans, grants/awards/prizes/non-equity assistance, venture capital, angel investment, initial coin offerings, crowdfunding and corporate funding. In this report, we attributed the acquisition by an African country of an overseas company to the country of the acquiring company (for now).
 Please note that we only consider for-profit early-stage and technology companies that are either incorporated in Africa or headquartered in Africa. (We use the word technology to also denote companies with innovative business models like Jibu).
 If a for-profit company is not headquartered on the continent, it should either have Africa as its primary or only market. Because of the above criteria, we did not include funding raised by companies like Branch ($20M), African Leadership Academy ($30.7M), iSON Xperiences ($51M), Tala ($65M), D.Light ($116M), Alten Africa ($36M) and others.
 We classified all the companies under ten (10) sectors where most of the funding and M&amp;A activity took place while all the others that fell under areas with insignificant activity are captured under Information Technology. The sector emerging technologies covers drones, the blockchain, artificial intelligence, machine learning and other technologies that are just beginning to take off on the continent.
 We divided the continent into five (5) regions; Central, East, North, Southern and West Africa. However, because there was not much activity in Central Africa, it was bundled with East Africa for analysis in certain instances. The full list of classification is at the end of the report in the Appendix section.
 We also ensured that we allocated all deals that took place a stage/type (which you can find pointed out in the table in the report). We grouped all the funding stages into nine (9) categories with all pre-seed and seed rounds as well as all funding from accelerators and incubators classified under Seed. All non-equity financing in the form of grants, awards and prizes were categorised under grants. We classified all Series A and Series B rounds under Early Venture, and any deal that was Series C and above fell under Late Venture.
 Important to note is that we only considered deals amounting to $10,000 or more and all values presented in other currencies other than US dollar (USD) were translated into USD using Bloombergs Currency Converter or recorded based on the source if already translated into USD.
 You can find our full methodology here or visit digestafrica.com/methodology.
","https://blog.digestafrica.co/digest-africa-index-report/
",DigestAfrica
"Hello Tractor, John Deere partner to deploy 10,000 tractors across Nigeria
","Uber for tractor startup  Hello Tractor recently entered into a partnership with American machinery manufacturer, John Deere. The partnership will see 10,000 tractors deployed across Nigeria.
 [We] recently embarked on an exciting new public-private partnership with John Deere and the Nigerian Federal Ministry of Agriculture and Rural Development to deploy 10,000 tractors over the next five years, Jehiel Oliver, the founder and CEO of Hello Tractor, said in an interview with Forbes.
 
 The government will implement a pay-as-you-go model that allows tractors to be leased to new owners over a defined period of time, before being resold to them at a discount.
 
 Hello Tractor connects farmers to tractor owners. It will thus focus on the implementation part using its technology. Hello Tractor will serve as an implementation partner, providing tractor monitoring, security, and valuation support, Oliver said.
 Recently, Hello Tractor also entered into a technology partnership with the US. based CalAmp as well as India-based Aeris. This particular partnership would see CalAmp  through Hello Tractor  equip [the] John Deere tractors with intelligent telematics and wireless connectivity.
  CalAmp, a technology solutions pioneer transforming the global connected economy, announced that it is partnering with Hello Tractor and Aeris to equip John Deere tractors with intelligent telematics and wireless connectivity, wrote CalAmp in a press release.
 
 The partnership and [the] combined integrated Internet of Things (IoT) technologies create an Uber for tractors that enables an on-demand mechanized equipment service for small farmers in Nigeria and other developing areas to improve economic advancement.
 
 The public-private partnership between Hello Tractor, John Deere, and the Nigerian government has particular deliverables. Yet, CalAmp also believes that their technology partnership will enhance this.
 The end goal of the partnership is to see that more land is put into production which in the end should create more jobs.
 The partnership creates a technology-sharing ecosystem that promotes economic growth by putting more land into production and creating jobs across the region, reads part of the press release.
 When the 10,000 tractors are deployed, it is anticipated that 9 million hectares of land will be put into production. Additionally, 37 million metric tons of additional food will be produced and more jobs created.
 More than 2 million direct and indirect jobs [will be created] in Nigeria  all powered by Hello Tractor, CalAmp and Aeris technologies, reads part of the press release.
 Founded in 2014, Hello Tractor started out as both a software and hardware company.
 The company was making three-wheeler tractors that were equipped with its GPS and IoT technology. These it was planning to sell to farmers on loan and each cost $3,500. It’s raised $2 million for this and struck a deal with Nigeria’s central bank, which is guaranteeing 75% of the amount, wrote Fast Company in 2015.
 The three-wheeler that Hello Tractor used to make. Photo: Fast Company
 However, Hello Tractor abandoned this model according to Olivers interview with Forbes.
 When Hello Tractor launched in 2014, our flagship product was an affordable, ultra-low horsepower, two-wheel tractor fitted with our monitoring technology, he said.
 
 We sold these to enterprising farmers or cooperatives, who then accessed our tractor-sharing platform to identify and service additional demand from smallholders. Great in theory? Yes. Great in practice? Not at that time.
 
 Oliver says that they moved away from the model after the Nigerian economy weakened due to the recession a year later.
 Credit markets dried up and depreciation of the local currency effectively doubled the price of our tractors, making it impossible for our customers to finance purchases.
 Before, Hello Tractor was manufacturing their tractors from China and had plans to move the manufacturing to Nigeria. Yet, all this was shelved.
 Perhaps, more importantly, we realized that to make it financially attractive for tractor owners to use our platform, the tractors themselves would need to be able to reach more farmers over a wider distance than was feasible for our existing product.
 In January 2017, they finally made the strategic decision to focus more on the app than on the tractors.
 Olivier says that this has proved a more effective model enabling them to capture 75% of private commercial tractor inflows to Nigeria, expand to five markets across Africa through strategic partnerships, and touch the lives of 250,000 farmers.
 When you look at it from the point of scalability as well as eliminating overheads, then the partnership with John Deere makes sense.
 Hello Tractor and John Deere have been talking from as far as 2015 though. And according to the Washington Post, Hello Tractor might launch the same initiative in Kenya.
 Currently, Oliver  a 2015 Echoing Green fellow, is based in Abuja, Nigeria though part of his team is based in the USA.
","https://blog.digestafrica.co/hello-tractor-john-deere-tractors-nigeria/
",DigestAfrica
