title,content,link,sources
"4 Animals AlsterScience Raises Funding
","4 Animals AlsterScience GmbH, a Hamburg, Germany-based developer of biologic drugs and feed supplements for animals that improve immune function, raised a funding round of undisclosed amount.
 Backers included Innovationsstarter Fonds, an unnamed business angel and High-Tech Gründerfonds.
 Led by Prof. Dr. Dr. Edith Huland and Conny Cloppenburg, Managing Directors, 4 Animals AlsterScience focuses on drugs and treatments for pets and livestock that strengthen natural immune systems in animals.
  
 The company’s products have already been used for viral diseases, tumors, inoculations and cell therapies and can help break the vicious cycle of resistance to conventional drugs.","http://www.finsmes.com/2014/10/4-animals-alsterscience-raises-funding.html
",FinsmesGermany
"ArangoDB Raises $10M in Series A Funding
","ArangoDB, a San Francisco, CA-based open source native multi-model database, has secured $10 million in Series A funding. 
 The round, which brought total funding to date to $17m, was led by Bow Capital with participation from existing investor Target Partners. In addition to the funding, Bow Capital Advisor Murat Sönmez, founding team member of TIBCO and Managing Director at the World Economic Forum, joined ArangoDB’s board of directors.
 The company intends to use the funds to accelerate product development and revenue growth by further expanding its engineering and sales teams to support its customers and community in the U.S, to continue to build-up community support, marketing, human resources as well as sales in Silicon Valley, while the main software and product development will be driven from Cologne, Germany.
 Led by Claudius Weinberger, CEO and co-founder, ArangoDB is an open source native multi-model database used by more than 500 organizations worldwide in production for flexible, streamlined application development. By uniting graph, document, and key/value data models in a single core with the same query language, ArangoDB gives developers flexibility when building their applications. This reduces development complexity by eliminating data duplication and consistency challenges and accelerates time-to-market as development teams only have one database to learn, administer and maintain.
 Users include Airbus, Barclays, SAP Concur, and Thomson Reuters.","http://www.finsmes.com/2019/03/arangodb-raises-10m-in-series-a-funding.html
",FinsmesGermany
"3D Printing Startup BigRep Receives Investment from Klöckner & Co.
","BigRep, a Berlin, Germany-based 3D printing startup, received an investment from Klöckner & Co., via its venture capital subsidiary kloeckner.v.
 The amount of the deal, which is part of an ongoing international Series B financing round, was not disclosed.
 Alongside the financial investment, Klöckner & Co. (ISIN: DE000KC01000; WKN: KC0100; Common Code: 025808576), one of the largest producer-independent distributors of steel and metal products and one of the leading steel service center companies worldwide, plans to use BigRep’s industrial 3D printers in its extensive European and US site network going forward.
 Founded in 2014, BigRep designs and produces a 3D printer and provides consulting for additive manufacturing system solutions via a multinational team of over 60 employees based in Berlin, New York and Singapore.
 As well as new products, the company based in Berlin’s Kreuzberg district focuses on end-to-end solutions for industrial customers in the form of integrated additive manufacturing systems.","http://www.finsmes.com/2017/04/3d-printing-startup-bigrep-receives-investment-from-klockner-co.html
",FinsmesGermany
"Joblift Raises €10M in Series A Funding
","Joblift, a Berlin, Germany-based job search platform, raised €10m in series A funding. 
 The round, which brings the total amount raised to date to €12m, was led by DN Capital with participation from Picus Capital and existing investors Cherry Ventures, btov and TruVenturo.
 The company intends to use the funds to deepen its technology and improve user experience.
 Led by Lukas Erlebach, co-founder and CEO, Joblift provides a data-driven platform, which aggregates jobs from multiple job boards, corporates and recruiters to provide job seekers with a one-stop site where they can find positions that really match their skills. Joblift already has over 1.5 million monthly site visits and has over 4,000 partners, including most of the major job boards. The search platform uses machine learning algorithms to extract keywords and terms from every job description, so that job hunters are guided to the most relevant vacancies.
 Joblift is growing rapidly in the UK, Germany, France and the Netherlands.","http://www.finsmes.com/2017/12/joblift-raises-e10m-in-series-a-funding.html
",FinsmesGermany
"Blog & Influencer Marketing Platform blogfoster Raises Multi-Million Funding
","blogfoster, a Berlin, Germany-based startup for blog and influencer marketing, raised a multi-million amount in its latest funding round.
 Backers included yabeo Capital and previous investors Axel Springer Plug and Play, VC Fund Technology (managed by IBB Beteiligungsgesellschaft) and Nils F. Gläser.
 The company will use the funds to grow the Berlin team from 20 to 35 employees by the end of the year and expand in Europe and beyond.
 Led by Jan Homann, co-founder & CEO, and Simon Staib, co-founder and CPO, blogfoster gives advertisers access to a pool of thousands of bloggers to place their products and brands within the sphere of relevant target groups. Advertisers are sorted by topic and relevant insights, allowing bloggers to select their preferred collaborators themselves. The platform handles the process from start to finish and reports relevant data after the end of the campaign to give both sides an overview of results achieved.","http://www.finsmes.com/2016/07/blog-influencer-marketing-platform-blogfoster-raises-multi-million-funding.html
",FinsmesGermany
"Changers Raises $1.5M in Series A Financing
","Changers, a Potsdam, Germany-based operator of a social energy marketplace, raised $1.5m in Series A financing.
 The round was led by BFB Frühphasenfonds Brandenburg GmbH (managed by bmp Beteiligungsmanagement AG), with participation from Heliocentris Energy Solutions AG and three additional angel investors.
 The company intends to use the funds to accelerate its product development plans.
 Led by Markus Schulz, co-founder and CEO, Changers provides the Changers System, a social energy marketplace that enables people to produce their own energy, measure how much they produce, and convert it into a currency that can be used to buy sustainable goods and services from Changers’ commercial partners.
 The company markets the Changers Starter Kit, comprising a portable PV solar panel and a portable solar battery that measures how much energy it captures and stores.
 Since its launch just two years ago, the company has sold more than 5,000 Starter Kits and added 25 partners (including avocadostore, Coffee Circle, DriveNow, DHL, Grand St, Holstee, and nextbike) to the marketplace.","http://www.finsmes.com/2014/01/changers-raises-1-5m-in-series-a-financing.html
",FinsmesGermany
"FinanceFox Raises $5.5M in Funding
","FinanceFox, a Berlin, Germany-, Zurich, Switzerland-, and Barcelona, Spain-based provider of an online insurance management platform, raised $5.5m in funding. 
 The round was led by Salesforce Ventures, with participation from AngelList, Idinvest, Seedcamp and Speedinvest.
 The company intends to use the funds to expand its marketing efforts in Switzerland and in Germany, as well as open up new markets.
 Co-founded in November 2014 in Switzerland by CEO Julian Teicke, Amir Suissa, and Dario Fazlic and led in Switzerland by Michael John and in Germany by Hartmut Teicke, FinanceFox provides an online app that enables customers to efficiently manage insurance and financial products allowing to stay informed about terms and conditions, rates and turn their interactions with insurances into a paperless experience and receive personalized advice.
 The company, which currently partners with some insurance brokers in Switzerland and is now expanding into the German market, employs more than 70 employees and is continuing to hire people in Berlin, Zurich and Barcelona.","http://www.finsmes.com/2016/01/financefox-raises-5-5m-in-funding.html
",FinsmesGermany
"bentekk Receives Six-Figure Seed Funding Round
","bentekk GmbH, a Hamburg, Germany-based manufacturer of measurement instruments for toxic industrial gases, received a six-figure seed funding round.
 Backers included High-Tech Gründerfonds (HTGF) and the Innovationsstarter Fonds Hamburg (IFH).
 The company will use the funds to market its gas measurement technology in German-speaking countries and to develop a second product version for use in explosive atmospheres.
 Co-founded by Matthias Schmittmann and Johannes Weber as a spin-off of the Hamburg University of Technology (TUHH) and the NIT Northern Institute of Technology Management, bentekk develops a handheld X-PID which allows selective measurements of carcinogenic organic compounds as benzene to increase safety at work in the oil, gas and chemical industry during shutdowns and turnarounds.
 FinSMEs","http://www.finsmes.com/2016/04/bentekk-receives-six-figure-seed-funding-round.html
",FinsmesGermany
"Blockchain and AI Startup Xain Raises Approx. €6M in Seed Funding
","Xain, a Berlin, Germany-based blockchain and AI startup, secured approx. €6m in seed funding.
 The round was led by Earlybird, with participation of international strategic investors – especially from Asia.
 The company intends to use the funds to continue to develop its platform, scale up activities, hire about 10 additional employees, mostly software engineers, and fully develop and launch their product.
 Led by Felix Hahmann, COO and Co-Founder, and Leif-Nissen Lundbaek, CEO and Co-Founder, Xain is a Blockchain and AI startup that develops a cybersecurity protocol through which machines, devices, and humans can control access to data and resources in the emerging Internet of Things. This protocol puts owners of resources into full control of their data and devices, and allows them to delegate access to others.
 The protocol can integrate with enterprise systems that manage data and identity, and facilitates compliance with privacy regulations such as GDPR.
 Following the investment, Dr. Christian Nagel, Managing Partner at Earlybird, joined Xain’s supervisory board.","http://www.finsmes.com/2018/06/blockchain-and-ai-startup-xain-raises-approx-e6m-in-seed-funding.html
",FinsmesGermany
"Careship Raises $4M in Funding
","Careship, a Berlin, Germany-based caregiving startup, raised $4m in funding. 
 The round was led by Spark Capital, with participation from Axel Springer Plug and Play, Christophe Maire and Johannes Reck.
 The company will use the funds to continue to expand operations.
 Co-founded by Antonia and Nikolaus Albert, Careship leverages an algorithm to find the right match between home-based caregivers and families in need. The platform also advises on insurance benefits.
 The service is currently available in Germany.","http://www.finsmes.com/2017/01/careship-raises-4m-in-funding.html
",FinsmesGermany
