title,url,file_name
Faire carrière dans les fonds d'investissement | Teranga Capital,http://www.terangacapital.com/faire-carriere-dans-les-fonds-dinvestissement/,20190515184434921432.dat
A propos - Teranga capital,http://www.terangacapital.com/teranga-capital/,20190515182612519589.dat
Regional mortgage financing fund (CRRH-UEMOA) raised its share capital to XOF9.589 billion - Togo First,https://www.togofirst.com/en/banking/1005-3116-regional-mortgage-financing-fund-crrh-uemoa-raised-its-share-capital-to-xof9-589-billion,20190515182216268567.dat
Guinea: Orange launches the 4G technology - Ecofin Agency,http://www.ecofinagency.com/telecom/1005-40045-guinea-orange-launches-the-4g-technology,20190515185216945656.dat
Togo: Eighth edition of Adjafi Fair to take place from Aug. 22-Sept. 8, 2019 - Togo First,https://www.togofirst.com/en/economic-governance/1005-3117-togo-eighth-edition-of-adjafi-fair-to-take-place-from-aug-22-sept-8-2019,20190515181948786665.dat
Home - ITWeb Africa,http://www.itwebafrica.com,20190516173816975731.dat
Vietnam’s Special Envoy Visits Prime Minister Dion Ngute Seeking for Solution to Nexttel Conflict - Ecofin Agency,https://www.ecofinagency.com/telecom/0605-40019-vietnam-s-special-envoy-visits-prime-minister-dion-ngute-seeking-for-solution-to-nexttel-conflict,20190515184507910028.dat
Nicholas Asingwire, Author at SautiTech,https://www.sautitech.com/author/nicholasa/,20190520154834430905.dat
Events Archives - Disrupt Africa,http://disrupt-africa.com/category/events/,20190520151132415597.dat
Techative – We tech a great deal,http://techativeng.com/author/admin/,20190520154929273749.dat
Public management - Ecofin Agency,http://www.ecofinagency.com,20190515185815203194.dat
Accueil - Teranga capital,http://www.terangacapital.com/,20190515185250943040.dat
Technology Archives – Techative,http://techativeng.com/category/technology/,20190520154942379795.dat
News - Business in Cameroon,https://www.businessincameroon.com,20190515184429368406.dat
Mozambique to invest $200 mln to rebuild a railway link to Zimbabwe   - Ecofin Agency,https://www.ecofinagency.com/public-management/0705-40022-mozambique-to-invest-200-mln-to-rebuild-a-railway-link-to-zimbabwe,20190515181857364594.dat
Togo First -  Economical news from Togo,https://www.togofirst.com/en,20190515182923985522.dat
tech Archives – Techative,http://techativeng.com/tag/tech/,20190520154938674762.dat
Events Archives – Techative,http://techativeng.com/category/events/,20190520154935175016.dat
What you need to change (add or drop) a name on your national ID, Birth Certificate in Uganda – SautiTech,https://www.sautitech.com/digital/change-name-add-drop/,20190520154815153677.dat
Home - Disrupt Africa,http://disrupt-africa.com,20190515184353910962.dat
South African defence group Denel to sell stakes in some of its divisions - Ecofin Agency,https://www.ecofinagency.com/finance/1902-39679-south-african-defence-group-denel-to-sell-stakes-in-some-of-its-divisions,20190515184958826859.dat
Egypt’s borrowing requirements estimated at $48 bln for 2019-2020 fiscal year - Ecofin Agency,https://www.ecofinagency.com/public-management/2304-39959-egypt-s-borrowing-requirements-estimated-at-48-bln-for-2019-2020-fiscal-year,20190515185153409745.dat
Things I Heard When I Stopped Staring at My Phone – Human Parts,https://humanparts.medium.com/things-i-heard-when-i-stopped-staring-at-my-phone-69f47eab09f8?source=collection_category---4------8---------------------,20190515184948875478.dat
AfrikaTech - Promouvoir l'innovation technologique et l'entrepreneuriat en Afrique et pour la diaspora africaine,http://www.afrikatech.com,20190515185214669802.dat
TechCabal | Leading Africa’s Tech Conversation,http://techcabal.com,20190515184656314230.dat
AFCON 2019: Cameroon names preliminary squad | Africanews,https://www.africanews.com/2019/05/11/afcon-2019-cameroon-names-preliminary-squad/,20190515183405660863.dat
Startup Life Archives – Techative,http://techativeng.com/category/startup/startup-life/,20190520151209582534.dat
Finicity Secures $42M in Series B Funding |FinSMEs,http://www.finsmes.com/2016/12/finicity-secures-42m-in-series-b-funding.html,20190520145533057135.dat
General Electric appoints Ghana CEO |IT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/2019/04/general-electric-appoints-ghana-ceo/,20190515181900022573.dat

  Create your Google Account
  ,https://accounts.google.com/SignUp?service=accountsettings&continue=https%3A%2F%2Fmyaccount.google.com%2Fshared-endorsements%3Futm_source%3Dpp%26hl%3Den_GB&hl=en_GB,20190515184415464061.dat

  Create your Google Account
  ,https://accounts.google.com/SignUp?continue=https%3A%2F%2Fplus.google.com%2F%2BTechweez,20190515184117698243.dat
Op-Ed - Bitcoin News,https://news.bitcoin.com/op-ed/,20190515182437423613.dat
People | Omidyar Network,http://www.omidyar.com/people,20190515183056107411.dat
Top Stories newsIT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/category/top-stories/,20190515181941079045.dat
South African students excel in Huawei's Seeds for the Future programme |IT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/2018/12/south-african-students-excel-in-huaweis-seeds-for-the-future-programme/,20190515181903678832.dat
Techweez | Technology News and Reviews,http://techweez.com,20190515185812983588.dat
Gadgets and Gaming newsIT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/category/gadgets/,20190515181854937725.dat
Offices | Omidyar Network,http://www.omidyar.com/offices,20190515184359954128.dat
ITR TECH Press Office | IT News Africa,https://www.itnewsafrica.com/pressoffices/ITR_TECH/index.html,20190515181831837262.dat
Contact | Omidyar Network,http://www.omidyar.com/contact,20190515183107857206.dat
Hands – Human Parts,https://humanparts.medium.com/hands/home,20190515183822484572.dat
Kenyan Wall Street Home Page - Kenyan Wallstreet,http://kenyanwallstreet.com,20190515182146769210.dat
Blog | Omidyar Network,http://www.omidyar.com/blog,20190515183049841660.dat

  Create your Google Account
  ,https://accounts.google.com/SignUp?continue=https%3A%2F%2Fplus.google.com%2F,20190515184427757448.dat

  Create your Google Account
  ,https://accounts.google.com/SignUp?service=accountsettings&continue=https%3A%2F%2Fmyaccount.google.com%2Fshared-endorsements%3Futm_source%3Dpp%26hl%3Den_GB,20190515184128510951.dat
General newsIT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/category/general/,20190515183232046429.dat
Altron appoints Executive in newly created role |IT News Africa – Up to date technology news, IT news, Digital news, Telecom news, Mobile news, Gadgets news, Analysis and Reports | Africa's Technology News Leader,https://www.itnewsafrica.com/2019/04/altron-appoints-executive-in-newly-created-role/,20190515183845707945.dat
Insecurity: PDP NEC to review state of the nation,https://www.newtelegraphng.com/2019/05/insecurity-pdp-nec-to-review-state-of-the-nation/,20190515181914100106.dat
Dubai News, Abu Dhabi News, Middle East Business News, Gulf Financial & Industry Events & Information - ArabianBusiness.com,http://www.arabianbusiness.com,20190515185617402402.dat
British royals launch mental health text service | Reuters.com,https://uk.reuters.com/video/2019/05/10/british-royals-launch-mental-health-text?videoId=548217699&videoChannel=117759&channelName=World+News,20190515183451876474.dat
Home - ITWeb Africa,http://www.itwebafrica.com/,20190516173918413896.dat
funding Archives | FinSMEs,http://www.finsmes.com/category/funding,20190520145534481483.dat
ITP Customer | ITP Media Group,https://www.itp.com/divisions/itp-customer,20190515185014218840.dat
Oil Review Middle East - Oil, Gas and Hydrocarbon Processing,http://www.oilreviewmiddleeast.com/,20190515184702888373.dat
Africanews | Latest breaking news, daily news and African news from Africa,http://www.africanews.com,20190515183504672598.dat
Newtelegraph - Nigeria’s Most Authoritative Newspaper,https://www.newtelegraphng.com/,20190515183505725434.dat
About Us,https://www.newtelegraphng.com/about-us/,20190515182102891412.dat
Sunday Extra Archives - Newtelegraph,https://www.newtelegraphng.com/category/sunday-magazine/sunday-extra/,20190515184038208903.dat
Reuters.com,http://af.reuters.com,20190515182743205093.dat
Religion Archives - Newtelegraph,https://www.newtelegraphng.com/category/religion/,20190515184154745962.dat
News Archives - Page 5 of 3237 - Newtelegraph,https://www.newtelegraphng.com/category/news/page/5/,20190515182902687652.dat
Oil Review Middle East - Oil, Gas and Hydrocarbon Processing,http://www.oilreviewmiddleeast.com,20190515182215014322.dat
Oil Review Africa - Oil, Gas and Hydrocarbon Processing,http://www.oilreviewafrica.com,20190515183101814040.dat
Technical Review Middle East - Construction, Power, Logistics, Manufacturing, Business & Management, Information Technology,http://www.technicalreviewmiddleeast.com/,20190515182924953952.dat
Windscribe VPN Review 2019 – Many Pros But Has One Major Con,https://www.vpnranks.com/windscribe-vpn-review/,20190515184822665271.dat
Home | Thomson Reuters,https://www.thomsonreuters.com/en.html,20190515183152527815.dat
Communications Africa/Afrique - The premier telecoms and broadcasting magazine for Africa,http://www.communicationsafrica.com/,20190515184032522218.dat
Ventureburn - Startup news for emerging markets,http://ventureburn.com,20190515184449284623.dat
Oil Review Africa - Oil, Gas and Hydrocarbon Processing,http://www.oilreviewafrica.com/,20190515183527281792.dat
ITP Media Group,https://subs.itp.com/executive,20190515182245089659.dat
Technical Review Middle East - Construction, Power, Logistics, Manufacturing, Business & Management, Information Technology,http://www.technicalreviewmiddleeast.com,20190515185615965916.dat
Communications Africa/Afrique - The premier telecoms and broadcasting magazine for Africa,http://www.communicationsafrica.com,20190515183755344439.dat
Islam Archives - Newtelegraph,https://www.newtelegraphng.com/category/religion/islam/,20190515183633240694.dat
Money | Entrepreneur Philippines,https://www.entrepreneur.com.ph/topics/money?ref=footer_sitemap,20190515184843857941.dat
